parent_id;name;description;created_date
null;Soup;Soup is a primarily liquid food, generally served warm or hot (but may be cool or cold), that is made by combining ingredients of meat or vegetables with stock, or water. Hot soups are additionally characterized by boiling solid ingredients in liquids in a pot until the flavors are extracted, forming a broth. Soups are similar to stews, and in some cases there may not be a clear distinction between the two, however, soups generally have more liquid (broth) than stews.;2021-03-01 16:30:00.000000
null;Salad;A salad is a dish consisting of mixed pieces of food, sometimes with at least one raw ingredient. It is often dressed, and is typically served at room temperature or chilled, though some can be served warm.;2021-03-01 16:30:00.000000
null;Dessert;Dessert is a course that concludes a meal. The course usually consists of sweet foods, such as confections, and possibly a beverage such as dessert wine or liqueur. In some parts of the world, such as much of central and western Africa, and most parts of China and India, there is no tradition of a dessert course to conclude a meal.;2021-03-01 16:30:00.000000
1;Fruit;Fruit soups are prepared using fruit as a primary ingredient, and may be served warm or cold depending on the recipe. Many varieties of fruit soups exist, and they may be prepared based upon the availability of seasonal fruit.;2021-03-01 16:30:00.000000
4;Melon soup;Melon soup is a soup prepared with melon as a primary ingredient.[1] Melons such as bitter melon, cantaloupe, crenshaw melon, honeydew (casaba melon) and winter melon may be used,[1][2][3] among others. Some melon soups are prepared with whole pieces of melon, and others use puréed melon.[2] Some are served hot, while others are served chilled.[4] Some cold varieties are prepared without any cooking involved.[5] Several styles and varieties of melon soups exist, including bitter melon soup, cantaloupe soup and winter melon soup,[6][7][8] among others. The origin of some melon soup recipes may cross international boundaries;2021-03-01 16:30:00.000000
2;Wedge salad;A wedge salad is a green salad made from a head of lettuce (often iceberg), halved or quartered, with other ingredients on top.;2021-03-01 16:30:00.000000
2;Dinner salad;Main course salads (known as dinner salads[12] or as entrée salads in the United States) may contain small pieces of poultry, seafood, or steak. Caesar salad, Chef salad, Cobb salad, Chinese chicken salad and Michigan salad are dinner salads.;2021-03-01 16:30:00.000000
3;Cake;Cake is a form of sweet food made from flour, sugar, and other ingredients, that is usually baked. In their oldest forms, cakes were modifications of bread, but cakes now cover a wide range of preparations that can be simple or elaborate, and that share features with other desserts such as pastries, meringues, custards, and pies.;2021-03-01 16:30:00.000000
8;Pound cake;Pound cake is a type of cake traditionally made with a pound of each of four ingredients: flour, butter, eggs, and sugar. Pound cakes are generally baked in either a loaf pan or a Bundt mold. They are sometimes served either dusted with powdered sugar, lightly glazed, or with a coat of icing.;2021-03-01 16:30:00.000000
3;Pudding;Pudding is a pudding.;2021-03-01 16:30:00.000000
